season,gsis_id,pfr_id,team
2024,00-0032688,AndeRo04,MIA
2024,00-0032753,RhodLu00,IND
2024,00-0032759,RankSh00,CIN
2024,00-0032791,GranJa00,ATL
2024,00-0032792,SudfNa00,DET
2024,00-0032803,MillJa02,NYJ
2024,00-0032889,RobiAS00,CAR
2024,00-0032891,WorlDa00,TEN
2024,00-0032892,VigiNi00,DAL
2024,00-0032939,BellVo00,CIN
2024,00-0032951,TreaLa00,IND
2024,00-0032971,SimmJu00,ATL
2024,00-0032977,HiggRa00,CLE
2024,00-0033009,BoydTy00,TEN
2024,00-0033040,HillTy00,MIA
2024,00-0033047,BrowAn02,CAR
2024,00-0033051,OnyeDa00,ATL
2024,00-0027962,JordCa00,NO
2024,00-0027114,MorsTh00,NYJ
2023,00-0038552,MossRi00,DEN
2023,00-0038646,AustAl00,NE
2023,00-0038617,BurnAm00,LV
2023,00-0038619,IosiAn00,CIN
2023,00-0038621,DougDe00,NE
2023,00-0038628,HellDe00,ATL
2023,00-0038632,DoweCo00,TEN
2023,00-0038634,JadeNe00,LV
2023,00-0038635,JoneAn02,WAS
2023,00-0038636,McInKe00,SEA
2023,00-0038637,DuggMa00,LAC
2023,00-0038638,PariDe00,JAX
2023,00-0038641,BoldIs00,NE
2023,00-0038642,IveyDJ00,CIN
2023,00-0038660,NowaTr00,ARI
2024,00-0026190,CampCa99,MIA
2023,00-0038663,ThomSt01,ARI
2023,00-0038667,CookEl00,JAX
2023,00-0038674,WilsDi00,ARI
2023,00-0038678,MimsJo00,NO
2023,00-0038705,DemeEm00,ARI
2023,00-0038737,LandIs00,IND
2023,00-0038752,BoboJa00,SEA
2023,00-0038782,LeotEk00,CAR
2023,00-0038783,AdkiNa00,DEN
2023,00-0038791,IncoTh00,DEN
2023,00-0038794,McLaJa00,DEN
2023,00-0038807,PaceIv00,MIN
2023,00-0038616,BrasCh00,JAX
2023,00-0038614,MatlSc00,LAC
2023,00-0038613,ReedJe00,SEA
2023,00-0038612,PerrAT00,NO
2023,00-0038553,HenlDa00,LAC
2023,00-0038555,BigsTa00,JAX
2023,00-0038559,WilsMi02,ARI
2023,00-0038560,BattJo00,CIN
2023,00-0038563,TuckTr00,LV
2023,00-0038565,BlacMe00,MIN
2023,00-0038567,RylaCh00,NE
2023,00-0038568,PhilCl00,ATL
2023,00-0038570,MillVe00,JAX
2023,00-0038573,DaviDe02,LAC
2023,00-0038576,JoneCh11,CIN
2023,00-0038578,WardJa00,MIN
2023,00-0038579,OConAi00,LV
2023,00-0038580,AbduYa00,JAX
2023,00-0038581,HenrKJ00,WAS
2023,00-0038582,TuneCl00,ARI
2023,00-0038587,RobiJa03,CAR
2023,00-0038588,HowdJo00,NO
2023,00-0038589,WhylJo01,TEN
2023,00-0038597,BrowCh10,CIN
2023,00-0038598,HallJa00,MIN
2023,00-0038600,PappOw00,ARI
2023,00-0038606,WashPa01,JAX
2023,00-0038608,BoutKa00,NE
2023,00-0038611,RodrCh00,WAS
2023,00-0038811,ThomNa00,MIN
2023,00-0038839,TinsMi00,WAS
2023,00-0038845,JackMa04,TEN
2023,00-0039031,AdebAd00,IND
2023,00-0039041,HiggEl00,ARI
2023,00-0039046,McBrDe00,MIN
2023,00-0039054,MapuMa00,NE
2023,00-0039062,MingJo00,CAR
2023,00-0039066,MayeMi00,LV
2023,00-0039070,DextGe00,CHI
2023,00-0039071,StevTy01,CHI
2023,00-0039072,BennJa00,LV
2023,00-0039111,TuipTu00,LAC
2023,00-0039142,McDoWi00,NYJ
2023,00-0039143,FoskIs00,NO
